Max_NeuN,Mean_NeuN,Std_NeuN,Middle_NeuN,MoC_NeuN,Solidity_NeuN,FilledArea_NeuN,CenDist_NeuN,Max_tdTom,Mean_tdTom,Std_tdTom,Middle_tdTom,MoC_tdTom,Solidity_tdTom,FilledArea_tdTom,CenDist_tdTom,Max_TH,Mean_TH,Std_TH,Middle_TH,MoC_TH,Solidity_TH,FilledArea_TH,CenDist_TH
5982,2787.72778320312,1140.49694824219,5982,3.43398404121399,0.73469387755102,40,0,4535,3752.48510742188,283.158203125,4340,1.21910107135773,0.795918367346939,47,0,208,179.958572387695,11.0018148422241,198,1.08049118518829,1,169,0
2072,1801.798828125,115.811042785645,1813,1.00373697280884,0.530612244897959,90,0,5709,4734.24853515625,439.416381835938,4474,1.02105319499969,0.530612244897959,95,0,249,209.420120239258,14.9274368286133,190,0.970625817775726,1,169,0
3573,2694.95263671875,361.618499755859,3573,1.41884243488312,0.959183673469388,95,0,3934,3674.005859375,118.330627441406,3718,1.03970921039581,0.938775510204082,126,0,211,181.070999145508,11.8394889831543,183,1.02377617359161,1,169,0
2746,2241.609375,203.924331665039,2610,1.33880484104156,1,133,0,3833,3586.63916015625,78.2331314086914,3596,1.01089322566986,0.489795918367347,71,0,236,194.420120239258,13.207405090332,178,0.928292036056519,1,169,0
3675,3078.0888671875,252.943618774414,3607,1.30700242519379,1,136,0,4172,3927.68627929688,103.498107910156,3930,0.996387124061584,0.816326530612245,130,0,294,258.284027099609,14.4251699447632,262,1.05858588218689,1,169,0
4140,2411.189453125,754.236633300781,4140,2.57903742790222,0.918367346938776,57,0,3779,3279.33715820312,224.932693481445,3739,1.18745529651642,1,131,0,208,172.070999145508,13.0080432891846,163,0.896836340427399,1,169,0
3802,2685.5029296875,464.685302734375,3700,1.75646805763245,1,82,0,4208,3952.4970703125,104.655052185059,4184,1.07710134983063,0.918367346938776,134,0,178,158.420120239258,7.46705913543701,151,0.939346790313721,1,169,0
3023,1995.3017578125,426.167266845703,2146,1.29530704021454,0.63265306122449,65,0,3215,2927.37866210938,120.469367980957,3046,1.06736755371094,0.938775510204082,132,0,225,185.266265869141,14.1852149963379,196,1.07397258281708,1,169,0
2680,2469.65673828125,90.4801330566406,2387,0.95748096704483,0.918367346938776,163,0,3812,3545.20703125,92.9832153320312,3404,0.943262875080109,1,168,0,347,290.189361572266,21.7906627655029,251,0.906955718994141,1,169,0
6109,3477.810546875,1080.10595703125,5982,2.31770634651184,0.816326530612245,52,0,4102,3795.34326171875,103.359230041504,3888,1.05315911769867,1,164,0,207,169.36686706543,12.0848331451416,153,0.840659320354462,1,169,0
3784,2636.396484375,478.050109863281,3646,1.67075264453888,1,90,0,4065,3672.3017578125,153.154434204102,3768,1.06238102912903,0.979591836734694,123,0,257,197.994079589844,20.06077003479,188,0.93184632062912,1,169,0
6327,4763.6982421875,817.195983886719,6327,1.86088240146637,1,88,0,4678,4302.92919921875,167.902130126953,4678,1.12627899646759,1,148,0,220,191.390533447266,12.5319166183472,190,1.02013421058655,1,169,0
7614,3765.396484375,1546.71801757812,6892,2.77679300308228,0.73469387755102,46,0,4645,3894.9052734375,343.891754150391,4338,1.17608785629272,0.857142857142857,86,0,235,207.958572387695,13.8814516067505,211,0.998816549777985,1,169,0
5939,4642.26025390625,718.659362792969,4920,1.40621650218964,0.979591836734694,115,0,4571,4081.01782226562,218.705429077148,3762,0.911668479442596,0.714285714285714,140,0,161,142.775146484375,7.57009029388428,147,1.04812836647034,1,169,0
2754,2148.14208984375,223.504425048828,2321,1.162388920784,0.877551020408163,108,0,3279,3074.43798828125,101.231338500977,3114,0.995842635631561,0.979591836734694,168,0,231,196.875732421875,12.8730983734131,204,1.06666672229767,1,169,0
5078,3356.97631835938,816.330932617188,5078,2.17729663848877,0.979591836734694,73,0,3907,3700.26635742188,72.4081954956055,3798,1.0157116651535,0.979591836734694,157,0,177,149.497039794922,8.87688541412354,136,0.885993480682373,1,169,0
1820,1695.66271972656,50.0184326171875,1699,1.02149403095245,1,169,0,3324,3171.02954101562,58.3780212402344,3230,1.02279925346375,0.897959183673469,160,0,313,274.662719726562,13.2170009613037,294,1.06521737575531,1,169,0
4197,2591.3017578125,534.190368652344,4197,1.88480973243713,0.918367346938776,69,0,3746,3465.7099609375,94.6493225097656,3552,1.04593634605408,0.979591836734694,158,0,222,190.644973754883,11.5852689743042,205,1.03015077114105,1,169,0
2717,2343.57983398438,134.087142944336,2638,1.18976211547852,0.897959183673469,94,0,4121,3890.390625,97.5050201416016,3873,1.00964546203613,0.653061224489796,107,0,252,220.786987304688,14.6336870193481,212,0.951739609241486,1,169,0
3470,2294.68627929688,429.555053710938,2662,1.32060027122498,0.673469387755102,70,0,4478,3978.75146484375,224.668350219727,4216,1.11020410060883,0.959183673469388,124,0,191,159.266265869141,9.18494415283203,165,1.06280195713043,1,169,0
2950,2620.84619140625,115.891265869141,2806,1.08981454372406,0.857142857142857,117,0,3703,3449.591796875,85.4412460327148,3441,1.01213324069977,0.897959183673469,156,0,422,329.615386962891,26.7114200592041,325,0.938628137111664,1,169,0
4804,3145.34912109375,664.222778320312,4147,1.77811121940613,0.938775510204082,80,0,4272,3915.67456054688,151.047637939453,4078,1.12125372886658,1,113,0,233,185.461532592773,15.1394309997559,207,1.18624639511108,1,169,0
2760,1928.994140625,326.223236083984,2559,1.6835526227951,1,95,0,3891,3565.2958984375,128.143966674805,3483,0.922954618930817,0.979591836734694,166,0,230,186.692306518555,13.2516851425171,175,0.918635189533234,1,169,0
3130,1961.92309570312,473.567108154297,3030,2.22917056083679,0.918367346938776,61,0,3939,3677.1064453125,102.732261657715,3765,1.01455128192902,0.775510204081633,127,0,174,146.207107543945,8.73749160766602,138,0.937181651592255,1,169,0
3839,2660.52075195312,386.772430419922,3129,1.45551812648773,0.918367346938776,94,0,5522,4976.13037109375,257.437347412109,5522,1.18625140190125,0.979591836734694,112,0,216,172.372787475586,13.0346422195435,153,0.850000023841858,1,169,0
2908,2579.2900390625,120.132141113281,2513,0.988105773925781,0.591836734693878,93,0,9457,7174.24267578125,1012.37359619141,7057,1.03821396827698,0.306122448979592,57,0,351,290.443786621094,21.7731437683105,317,1.08006811141968,1,169,0
2551,2032.65686035156,183.508148193359,2325,1.25,1,156,0,3744,3468.71606445312,88.7552947998047,3660,1.07473206520081,0.959183673469388,158,0,198,170.142013549805,11.8333148956299,191,1.06555092334747,1,169,0
5436,3504.82250976562,791.472595214844,4963,1.85949790477753,0.918367346938776,71,0,3863,3603.1953125,109.357063293457,3716,1.07043063640594,0.918367346938776,81,0,340,289.597625732422,15.9023504257202,285,0.972696244716644,1,169,0
3197,2727.23657226562,209.636459350586,3120,1.30899941921234,1,130,0,4190,3994.42016601562,72.5055465698242,4024,1.01847636699677,0.979591836734694,164,0,218,181.562133789062,13.2506952285767,186,1.00540542602539,1,169,0
2823,2076.41430664062,306.794586181641,2519,1.46923303604126,0.959183673469388,81,0,4690,4157.390625,220.327239990234,4082,0.99300616979599,0.530612244897959,84,0,234,190.887573242188,15.9289455413818,188,0.967824995517731,1,169,0
2647,2222.54443359375,159.473937988281,2474,1.19085443019867,1,144,0,2906,2724.05908203125,65.0498580932617,2663,0.967659890651703,0.979591836734694,168,0,306,262.414215087891,14.2572050094604,254,0.907142877578735,1,169,0
2737,2114.98828125,253.664855957031,2541,1.41856241226196,0.918367346938776,90,0,3229,2894.609375,96.5791931152344,2895,1.03587079048157,0.938775510204082,129,0,262,230.556213378906,13.992283821106,231,0.997840166091919,1,169,0
1513,1293.40832519531,79.1502838134766,1390,1.09019613265991,0.612244897959184,93,0,2503,2222.11840820312,102.253295898438,2116,0.954658269882202,1,160,0,228,201.301773071289,12.2025585174561,207,1.05747127532959,1,169,0
7394,3820.15380859375,1494.64697265625,7264,3.43127059936523,0.918367346938776,59,0,4957,4214.3017578125,315.478637695312,4953,1.29439437389374,1,97,0,198,162.8994140625,11.3008861541748,176,1.04451036453247,1,169,0
3695,2975.15380859375,271.853271484375,3033,1.18118977546692,0.979591836734694,120,0,3628,3374.4912109375,89.5168304443359,3506,1.06898391246796,0.73469387755102,97,0,288,234.934906005859,16.543643951416,232,0.958677709102631,1,169,0
2756,2002.01184082031,330.818664550781,2582,1.52375328540802,0.836734693877551,56,0,3983,3777.32543945312,81.2317047119141,3696,0.979526937007904,1,169,0,181,152.739639282227,10.6872596740723,165,1.08019638061523,1,169,0
1911,1604.71594238281,105.319931030273,1911,1.27527523040771,0.938775510204082,117,0,4323,4100.94091796875,99.9999771118164,3956,0.96925151348114,1,168,0,197,167.715972900391,11.6859617233276,164,1.01234567165375,1,169,0
1948,1539.60949707031,164.304962158203,1754,1.25983119010925,0.755102040816326,64,0,4574,4315.9765625,100.339019775391,4351,1.02994441986084,1,161,0,176,155.331359863281,7.00741147994995,158,1.00158476829529,1,169,0
4644,2991.44384765625,572.337951660156,4558,1.856241106987,0.897959183673469,54,0,4468,3930.42602539062,206.871810913086,4468,1.18302774429321,0.959183673469388,106,0,253,215.887573242188,12.5988616943359,233,1.139364361763,1,169,0
2450,2249.86401367188,80.0881881713867,2407,1.10046863555908,1,168,0,4449,4152.1953125,96.1156463623047,4233,1.03036570549011,0.551020408163265,108,0,212,184.91716003418,9.84729862213135,198,1.10306406021118,1,169,0
5110,2945.94677734375,896.738464355469,5110,2.24566030502319,0.877551020408163,56,0,4793,3969.35498046875,383.551788330078,4460,1.2100658416748,0.857142857142857,101,0,249,181.44970703125,17.8958320617676,171,0.989869773387909,1,169,0
4224,2900.17163085938,549.822570800781,4153,1.53459584712982,0.897959183673469,79,0,4645,4020.04736328125,241.366958618164,4595,1.14033997058868,1,125,0,274,237.236679077148,14.0073394775391,258,1.10610938072205,1,169,0
2090,1806.69226074219,101.641586303711,1831,1.02937459945679,0.571428571428571,79,0,4192,4017.36694335938,67.1644744873047,3922,0.988718748092651,1,168,0,207,166.070999145508,9.08725833892822,172,1.07500004768372,1,169,0
2526,2333.201171875,86.0711669921875,2257,0.958793520927429,0.530612244897959,95,0,3734,3400.74560546875,102.396987915039,3385,0.968872964382172,0.73469387755102,119,0,311,273.639038085938,12.5273466110229,267,0.961296141147614,1,169,0
3298,2567.77514648438,344.745452880859,2957,1.2604433298111,1,128,0,3568,3222.43798828125,143.800567626953,3359,1.05912029743195,1,136,0,229,195.248519897461,10.7159099578857,213,1.1405622959137,1,169,0
4449,2637.15380859375,672.078247070312,4449,2.24243950843811,0.857142857142857,52,0,4057,3592.61547851562,173.297088623047,3848,1.13109934329987,0.673469387755102,78,0,207,172.343200683594,12.6189794540405,173,0.953168034553528,1,169,0
4791,2590.76928710938,723.474243164062,4502,2.21418905258179,0.795918367346939,46,0,4643,3759.45556640625,299.105407714844,4348,1.22998583316803,0.673469387755102,43,0,237,191.857986450195,16.802173614502,202,1.0802139043808,1,169,0
3647,2939.62133789062,377.039947509766,3635,1.43350088596344,1,99,0,3350,3087.26025390625,117.185356140137,3260,1.0744891166687,0.857142857142857,85,0,280,244.556213378906,14.9892263412476,234,0.977035462856293,1,169,0
4406,3398.33715820312,389.430358886719,3486,1.1460508108139,0.755102040816326,84,0,3721,3428.01782226562,98.3167495727539,3424,1.02660965919495,0.979591836734694,132,0,237,200.727813720703,14.7675399780273,204,0.987893462181091,1,169,0
3474,2350.0947265625,510.997924804688,3355,1.89923572540283,1,76,0,3652,3345.88159179688,137.770812988281,3565,1.14584171772003,1,164,0,258,215.065093994141,16.2934913635254,212,0.975834310054779,1,169,0
5453,3158.65087890625,923.343566894531,5218,2.53454756736755,0.918367346938776,56,0,4061,3735.8046875,165.415679931641,4059,1.12212312221527,1,126,0,200,167.313613891602,9.94938945770264,200,1.19581460952759,1,169,0
2955,2432.53857421875,226.240570068359,2758,1.31255209445953,1,119,0,3995,3753.47338867188,83.1003494262695,3840,1.02161622047424,1,164,0,204,170.431945800781,11.4500646591187,175,1.0886470079422,1,169,0
6323,3507.12426757812,1072.50012207031,6119,2.65380024909973,0.938775510204082,63,0,4464,3609.31958007812,322.717071533203,4434,1.36894106864929,0.938775510204082,67,0,262,215.627212524414,15.3393201828003,230,1.1031174659729,1,169,0
