1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
288	-0.151696	115.205681	2.888917	0.012942	6.3
289	-0.142439	116.204828	2.867879	0.010358	6.4
290	-0.138408	115.967786	2.872842	0.016717	6.4
291	-0.164479	115.730707	2.877824	0.016756	6.5
292	-0.144788	115.493628	2.882822	0.003296	7.2
293	-0.166743	115.257388	2.887820	0.008544	6.7
294	-0.152381	116.144543	2.869140	0.008001	6.3
295	-0.165614	117.144508	2.848371	0.006481	6.5
296	-0.163723	116.937831	2.852639	0.012884	8.1
297	-0.149032	117.908525	2.832705	0.012450	6.6
298	-0.161072	117.671446	2.837548	0.004728	6.4
299	-0.153227	117.649575	2.837995	0.008277	6.8
300	-0.142955	118.175866	2.827263	0.013752	6.7
301	-0.161364	119.175866	2.807094	0.004537	7.2
302	-0.153956	118.949291	2.811639	0.009294	7.5
303	-0.148114	118.926178	2.812103	0.007832	6.9
304	-0.144191	119.926178	2.792149	0.007365	6.8
305	-0.138256	119.689104	2.796854	0.007358	6.4
306	-0.150108	120.689048	2.777115	0.008046	6.5
307	-0.147258	120.452405	2.781761	0.005680	6.3
308	-0.164931	120.215329	2.786432	0.008314	7.1
309	-0.151046	121.154009	2.768032	0.009498	6.4
310	-0.156660	122.154009	2.748696	0.006832	6.4
311	-0.136280	121.917329	2.753248	0.011563	6.4
312	-0.151627	121.687509	2.757682	0.004572	6.4
313	-0.149312	121.450431	2.762272	0.009955	6.5
314	-0.149338	121.479770	2.761703	0.008311	6.4
315	-0.157419	121.257942	2.766010	0.014869	6.6
316	-0.155470	121.020949	2.770625	0.008791	9.8
317	-0.152124	122.020949	2.751253	0.008019	6.4
318	-0.152703	121.790730	2.755689	0.013070	7.3
319	-0.159937	122.790720	2.736525	0.010781	6.4
320	-0.170531	122.553640	2.741044	0.007364	6.8
321	-0.164768	122.316652	2.745577	0.005199	6.7
322	-0.147760	122.402921	2.743925	0.008803	6.4
323	-0.157175	123.402664	2.724928	0.012956	6.4
324	-0.155274	123.165593	2.729409	0.007588	6.6
325	-0.159038	122.954725	2.733407	0.012185	6.6
326	-0.141815	122.717839	2.737912	0.016021	6.4
327	-0.147807	123.717839	2.718993	0.006607	7.2
328	-0.140903	123.480762	2.723455	0.005860	6.8
329	-0.136797	124.465207	2.705024	0.008345	7.1
330	-0.147988	124.590486	2.702696	0.012362	6.9
331	-0.174362	124.353417	2.707104	0.005943	6.4
332	-0.146277	125.353237	2.688610	0.009299	6.5
333	-0.171915	126.037421	2.676100	0.011296	6.4
334	-0.156199	126.484976	2.667979	0.012359	6.3
335	-0.159887	127.484967	2.650011	0.019420	6.3
336	-0.147176	127.247888	2.654249	0.002487	6.8
337	-0.142824	127.318054	2.652994	0.005510	6.6
338	-0.168068	128.063980	2.639718	0.004464	6.4
339	-0.146783	129.058456	2.622224	0.007462	6.3
340	-0.156233	129.481132	2.614858	0.007158	7.6
341	-0.167676	130.191336	2.602575	0.010776	6.4
342	-0.143018	131.191336	2.585475	0.012706	6.5
343	-0.142589	132.191336	2.568597	0.012164	6.3
344	-0.159167	131.954538	2.572574	0.005777	6.4
345	-0.152910	132.954535	2.555864	0.009681	6.4
346	-0.167307	133.954525	2.539370	0.005312	6.7
347	-0.164058	133.717449	2.543261	0.007068	7.9
348	-0.165135	134.717270	2.526931	0.005446	6.9
349	-0.155976	135.580565	2.512999	0.005827	6.3
350	-0.154313	135.956774	2.506976	0.003465	6.3
351	-0.169013	136.821934	2.493233	0.010138	7.7
352	-0.161683	136.606585	2.496640	0.010978	7.2
353	-0.157752	136.740027	2.494528	0.005976	6.5
354	-0.147492	136.787717	2.493774	0.012540	6.3
355	-0.151665	136.550638	2.497526	0.018495	6.3
356	-0.157465	136.313559	2.501290	0.012804	6.7
357	-0.147010	137.313559	2.485490	0.005721	8.4
358	-0.156264	137.078608	2.489185	0.013962	7.7
359	-0.160581	136.982772	2.490695	0.008103	6.5
360	-0.149812	136.745753	2.494437	0.017587	6.5
361	-0.142263	137.745531	2.478727	0.009229	7.4
362	-0.142056	138.745531	2.463210	0.006274	6.3
363	-0.156193	139.745529	2.447887	0.013357	6.3
364	-0.166325	140.745529	2.432753	0.004674	6.3
365	-0.159436	141.720539	2.418176	0.006283	6.9
366	-0.153732	142.047297	2.413329	0.005767	6.8
367	-0.159220	142.980568	2.399594	0.011329	6.6
368	-0.153670	142.747583	2.403009	0.019498	6.4
369	-0.151217	143.747583	2.388423	0.005213	6.4
370	-0.155607	144.747583	2.374013	0.011392	6.7
371	-0.160655	144.510504	2.377413	0.008212	6.4
372	-0.160187	144.405548	2.378922	0.008505	6.3
373	-0.151711	145.403810	2.364650	0.008097	7.2
374	-0.145470	146.397137	2.350619	0.008544	6.6
375	-0.168175	147.361191	2.337159	0.011743	6.6
376	-0.148397	147.124112	2.340455	0.016716	6.4
377	-0.154976	148.124112	2.326616	0.008735	6.8
378	-0.162459	149.124112	2.312940	0.007097	6.4
379	-0.156406	148.887034	2.316168	0.018453	6.8
380	-0.165138	148.649954	2.319404	0.005896	7.5
381	-0.152741	149.649954	2.305813	0.005195	6.6
382	-0.149797	150.149183	2.299087	0.011788	6.9
383	-0.149786	149.952249	2.301735	0.007340	6.4
